Location,Population,Proximity,Cost
039,6777,2,74979
90644,9967,4,47132
957,7826,5,3827
9678,8939,9,63260
345,8254,5,71980
82018,2098,7,76955
160,7880,2,88725
4,2236,8,79304
0,6233,8,45615
009,4288,10,37210
0,632,1,33182
2,1508,6,65098
3213,4524,2,76793
4,8735,5,55303
7,3827,8,60889
64,99,6,51209
30,9912,6,15841
446,6563,8,66993
688,1996,1,72971
0941,643,7,35196
43260,8467,4,92091
14793,795,6,37454
664,7200,3,43023
275,9919,7,90189
5,2363,2,30318
40484,7306,8,89368
5,4821,7,26829
9724,683,3,78464
436,8348,6,78649
77458,5277,3,24516
7,8703,1,2439
3986,5643,8,93499
42992,5671,10,73551
3885,5142,10,22701
1,8665,7,54782
184,3571,5,22294
68,9764,1,2846
017,1005,2,86590
400,6501,3,60303
1,2986,3,53528
753,3787,7,1590
2726,1410,10,80785
3,9425,7,24617
9,2999,6,2643
8861,4772,3,69619
21558,3923,8,37319
63349,7101,8,60091
97564,4697,3,88592
04755,130,8,79961
7,1689,6,35009
19999,6386,8,19737
87,455,8,6863
623,7886,6,42991
6,9689,7,40996
6,5380,10,40524
76,6539,8,95133
86,3151,1,88054
8,3219,9,80744
2,8022,10,85985
192,4869,1,39730
8,8733,1,1127
6831,4250,9,95728
2,6589,8,30867
4,5056,7,84001
8311,1786,8,45005
4437,148,4,25391
956,7426,5,16543
524,2726,7,53694
06675,1230,1,22534
054,4398,5,87647
03742,6131,7,26872
0,3729,5,10693
2,1849,7,27698
228,2655,3,88283
4,2317,8,92521
812,8545,5,85495
418,3630,6,32376
857,2690,2,97370
1,9845,3,3067
928,8079,5,41641
23,2979,1,23697
6439,1447,4,3953
6153,6078,4,22044
423,5962,6,12404
7,816,8,97633
17496,5510,2,1440
4845,2163,5,39458
5342,9911,6,52866
7338,9246,3,49353
418,1874,9,48574
0,7019,9,50055
179,4132,3,56538
5170,534,9,30895
06858,1126,4,78035
9,2587,8,27774
6,9063,4,10122
08,8409,6,97121
7,4975,4,67776
01,2836,6,55723
0146,3332,2,6723
5,733,8,75641
905,385,10,34259
5,9356,1,97255
32399,7555,7,26342
0328,8538,7,59577
11657,7865,10,9114
5687,923,8,17081
97,4253,8,78069
36,8206,3,29112
7061,1255,10,73259
6,2756,5,51618
18044,5130,10,6391
1,6732,10,68583
6480,9582,5,42718
511,4133,5,42852
67060,955,2,16323
7,227,9,3920
0,9377,8,94162
0597,5353,8,94885
73,5559,5,62295
604,5448,8,40942
32792,5741,7,75369
964,7710,8,3076
2,6620,5,37037
25079,2665,4,29295
9,895,8,33879
44137,7260,6,71315
664,2866,5,39641
24,2263,3,88939
665,7363,2,43408
4838,300,4,81656
602,5748,2,59926
3974,7370,2,98858
03,5575,1,45454
87201,6567,4,45224
01823,4357,10,62019
5,1690,1,38558
767,9778,5,96841
26607,517,3,25751
9040,2268,3,68727
014,4387,6,13094
687,7980,9,68556
420,2628,10,97947
426,1862,10,38487
1,628,6,91958
09,5084,6,39523
58,4658,2,15421
2,3449,9,59348
77,9231,10,64616
499,5402,2,80554
5,2273,6,80535
5965,9613,10,36415
826,2092,5,19899
151,7200,1,2658
6768,4305,2,37789
314,9214,1,43567
674,7319,10,80322
85,4983,3,30053
04751,7045,2,82250
6418,4856,1,35662
76,7404,6,15389
8456,7168,4,14018
4,4238,1,4391
32416,7069,10,63532
2,4154,5,81910
587,4556,9,39819
045,8342,9,13442
6,236,7,15511
41756,6502,2,33098
236,2340,5,51933
45,4806,8,93927
67,4515,3,31889
4,6801,7,16352
5552,7161,6,22971
4114,2222,6,96679
52,1909,8,50036
8064,4320,10,70359
3,2081,6,43406
13300,8612,2,84045
1,9316,10,79220
85,626,8,57905
7250,7856,6,3585
39952,202,2,46676
80075,9453,8,6960
6441,4023,1,84994
57,5114,9,63502
128,8803,1,20666
0445,7925,10,71036
1954,5171,9,31898
49,5543,2,19572
2970,1547,6,79162
28648,3546,8,54877
34059,6517,2,98542
317,4076,9,58115
4,1293,9,88889
1276,5779,3,57719
7,5302,9,42019
88,930,4,34182
41,5226,9,34814
6350,4694,5,80460
75520,9151,10,37166
9929,7938,2,65407
13073,7700,3,47375
315,8815,10,58217
4,2032,6,29552
8009,9846,10,76977
711,5695,1,4957
73845,6347,7,73827
94076,6699,5,26353
7,8988,4,82067
532,440,9,14649
049,7653,9,48145
5059,3764,2,53649
185,9369,8,62790
999,8809,10,39005
49352,2451,10,66789
80788,8759,10,10510
25,2302,8,93260
3,9634,10,84086
4,2397,8,37080
154,9077,7,15604
6,2866,2,80143
73,6881,9,79774
579,8639,1,27920
73,6218,9,19643
0,1688,10,65870
99,8465,10,9763
50564,4931,9,70719
91540,5822,6,54599
3771,7210,8,81411
35,4187,6,14896
5789,2505,4,35994
94,9518,5,53581
5,9943,2,7322
3,3285,8,32940
0,1681,3,51645
307,7448,3,13487
24,6002,3,28178
9,902,10,61188
2262,555,3,3479
29,9461,10,36891
03540,5009,1,33037
1,4384,2,1490
957,544,8,5948
1,8261,8,72166
0,9007,3,86172
288,7022,4,94106
51475,146,8,94356
5,4838,1,71235
5,3867,8,85981
5450,8442,8,48221
2006,8038,8,92737
7464,1619,4,57271
977,4858,5,74608
5143,8831,6,81103
70,8469,8,61767
2,6039,4,91884
36256,6546,7,68347
456,5059,4,74682
21366,4838,10,57866
9,6426,9,88084
6529,5615,10,86381
1875,4852,3,80255
402,1901,6,3949
007,9324,1,63915
0,4719,9,39005
0305,2029,2,63491
11,3354,4,33444
27,1331,5,35906
448,4894,8,52951
06391,6000,9,29868
7,6517,6,13824
9,8028,2,42538
0454,2499,2,7814
037,1983,6,51536
7445,7558,9,75336
528,3035,4,55198
377,3449,6,54529
84028,1263,9,35772
9501,4110,1,31983
24,9037,1,19406
542,8148,5,10730
81853,3064,7,25499
726,6461,6,66965
0655,8936,8,76004
63224,191,9,11947
5,7529,6,71825
97364,2916,4,30121
7996,4730,8,96666
8500,5543,8,51989
77,7100,7,39257
0638,2993,9,26874
46,1281,4,52656
82535,2783,7,74919
5,293,4,48189
9896,9836,5,36625
13,3927,1,55891
41064,6506,8,28017
8111,9842,7,97063
5059,7982,6,29908
9,5355,2,41427
3609,5675,6,17174
0,2828,1,29951
596,9406,5,32780
0,3490,8,31242
4,9044,7,26965
7193,9374,5,8097
88,877,8,32855
68943,7282,1,13054
5586,8654,8,31657
71406,3159,8,59919
919,3405,3,22305
7078,8809,9,10799
47,2513,2,92212
32,6174,8,80949
9423,5737,1,32921
97609,2176,9,37236
6394,9479,10,97352
2,9506,3,92184
22,1800,5,1248
89,5343,10,76188
007,1404,2,32336
5,636,5,28698
0767,9181,10,42458
4,4439,9,50261
9,7399,4,47384
64811,409,9,62191
223,4084,3,82609
2,6354,1,49248
330,3728,10,45758
9354,1933,2,26520
7,2416,2,80690
51627,9394,2,70432
5169,4930,9,40887
98,5596,9,57610
7157,3646,2,53001
9,6021,9,78644
37244,5519,2,48600
24,6903,2,52972
819,9805,9,97730
4844,9174,7,58953
41,8823,6,77539
118,8515,10,99622
2520,8607,4,38434
05783,9262,5,63309
1079,5876,9,52338
39197,3183,7,3040
5,3159,1,48351
6,6955,5,32410
1321,1620,9,73178
6571,3036,7,62753
15,6751,9,22202
5,6384,5,37164
80749,1113,8,70699
247,9223,3,11328
212,1190,1,69906
52,977,2,78919
32,6306,9,60982
2965,8718,4,96872
3,9744,3,72946
212,8898,6,28866
0,5530,1,35348
0907,5456,2,28769
98,2961,9,93046
69,2104,3,68012
4578,4038,2,22978
47124,8339,5,90044
885,600,3,60868
557,2188,3,46078
41824,1984,1,61634
858,2231,3,19306
0,1131,1,38042
91,4256,1,19313
6786,1470,3,85770
8503,74,9,77468
55602,7955,3,31064
53,1143,8,79402
420,6924,5,59321
9133,7297,2,39780
38110,1368,8,67493
391,1082,5,58627
38,9122,2,80299
9,7278,1,16211
1,4327,3,64716
09,649,8,85737
56,2287,5,35229
963,1519,2,43351
324,5056,5,55532
050,5235,10,25266
855,9256,2,66566
63,4769,10,30785
1883,4883,4,21290
282,4199,1,63909
45,2348,2,93258
321,9095,9,38344
39,9472,2,94901
3,369,2,85170
382,3427,9,56124
04,6452,9,93176
015,6845,4,91802
9799,6787,8,42624
5538,8247,5,30545
94739,6169,10,21881
571,8228,10,13734
3,8738,1,54431
9817,7839,1,45341
77,1121,10,45113
9,4100,4,21986
6,543,6,85989
98574,8039,3,97598
6118,2390,1,99474
755,7643,1,2196
5,8011,5,94338
76979,9594,8,80245
4505,5337,4,47909
93558,6526,4,44716
21,5859,6,71668
0,8538,4,41513
21,2653,2,61095
459,3492,2,19150
116,907,6,30440
2897,5313,4,80561
5,3682,9,89668
1,5983,8,34822
5216,5635,6,62994
0,5897,7,78585
8,5168,8,45915
43,5881,5,62313
8,4952,3,28547
41,3215,4,47401
1,5407,6,9024
087,617,3,98495
6,1366,1,35104
674,5873,7,66346
65,6860,5,85134
07124,6988,2,51658
135,3830,1,78322
8,1398,8,68541
90236,2536,4,38244
493,2210,9,58433
0,3598,10,92600
73185,646,7,35659
2,7762,6,12681
510,1983,3,87289
32,30,4,95915
92546,4713,9,67551
8,4220,4,5301
71,5890,2,16304
10755,3429,4,70243
28811,1482,4,96992
2486,7971,5,95355
06,8435,3,87387
0915,9302,4,30149
3043,925,3,76827
2,2436,9,76125
1,753,10,89060
00,915,5,69043
16814,5452,5,20311
9637,455,1,17265
023,7278,7,36688
4265,3119,9,64985
147,8236,4,68920
82,7048,10,26958
439,2223,6,96866
7104,4680,8,4444
464,2374,1,85587
8,7850,9,87527
3762,7877,10,37171
1,4136,10,43752
1891,317,8,90806
61865,4028,4,55927
51375,171,3,49279
69,1065,9,38338
48069,8839,8,14179
10,4111,7,70162
1910,9489,4,74577
0,2269,1,38035
130,1182,1,13033
1199,7373,8,53795
41,6594,7,91791
75,2945,9,86083
120,6812,1,1901
98601,7267,4,23219
030,5108,9,13684
7899,7060,1,34973
1,9481,9,74603
509,4264,9,83452
32,4711,2,84197
5116,150,5,96906
800,362,3,84837
38,5374,8,96452
75,3512,8,38684
23500,7211,2,82936
5,6569,10,42500
8,2427,5,88563
69,2345,5,74035
41197,8615,2,69941
36,7372,3,17008
